"","legend","hour","Trips"
"361","Training",2021-10-06 00:00:00,1119
"362","Training",2021-10-06 01:00:00,587
"363","Training",2021-10-06 02:00:00,336
"364","Training",2021-10-06 03:00:00,192
"365","Training",2021-10-06 04:00:00,260
"366","Training",2021-10-06 05:00:00,865
"367","Training",2021-10-06 06:00:00,2695
"368","Training",2021-10-06 07:00:00,6120
"369","Training",2021-10-06 08:00:00,8473
"370","Training",2021-10-06 09:00:00,5708
"371","Training",2021-10-06 10:00:00,4280
"372","Training",2021-10-06 11:00:00,4241
"373","Training",2021-10-06 12:00:00,5094
"374","Training",2021-10-06 13:00:00,5333
"375","Training",2021-10-06 14:00:00,6022
"376","Training",2021-10-06 15:00:00,6491
"377","Training",2021-10-06 16:00:00,7720
"378","Training",2021-10-06 17:00:00,11208
"379","Training",2021-10-06 18:00:00,11103
"380","Training",2021-10-06 19:00:00,7800
"381","Training",2021-10-06 20:00:00,4973
"382","Training",2021-10-06 21:00:00,4041
"383","Training",2021-10-06 22:00:00,3378
"384","Training",2021-10-06 23:00:00,2076
"385","Training",2021-10-07 00:00:00,1397
"386","Training",2021-10-07 01:00:00,627
"387","Training",2021-10-07 02:00:00,359
"388","Training",2021-10-07 03:00:00,260
"389","Training",2021-10-07 04:00:00,237
"390","Training",2021-10-07 05:00:00,796
"391","Training",2021-10-07 06:00:00,2682
"392","Training",2021-10-07 07:00:00,5916
"393","Training",2021-10-07 08:00:00,8216
"394","Training",2021-10-07 09:00:00,6031
"395","Training",2021-10-07 10:00:00,4431
"396","Training",2021-10-07 11:00:00,4449
"397","Training",2021-10-07 12:00:00,5331
"398","Training",2021-10-07 13:00:00,5579
"399","Training",2021-10-07 14:00:00,6132
"400","Training",2021-10-07 15:00:00,7001
"401","Training",2021-10-07 16:00:00,8126
"402","Training",2021-10-07 17:00:00,11735
"403","Training",2021-10-07 18:00:00,11561
"404","Training",2021-10-07 19:00:00,8071
"405","Training",2021-10-07 20:00:00,5286
"406","Training",2021-10-07 21:00:00,4220
"407","Training",2021-10-07 22:00:00,3408
"408","Training",2021-10-07 23:00:00,2925
"409","Training",2021-10-08 00:00:00,1727
"410","Training",2021-10-08 01:00:00,929
"411","Training",2021-10-08 02:00:00,565
"412","Training",2021-10-08 03:00:00,303
"413","Training",2021-10-08 04:00:00,271
"414","Training",2021-10-08 05:00:00,736
"415","Training",2021-10-08 06:00:00,2325
"416","Training",2021-10-08 07:00:00,5118
"417","Training",2021-10-08 08:00:00,7396
"418","Training",2021-10-08 09:00:00,5715
"419","Training",2021-10-08 10:00:00,4981
"420","Training",2021-10-08 11:00:00,5242
"421","Training",2021-10-08 12:00:00,6015
"422","Training",2021-10-08 13:00:00,6638
"423","Training",2021-10-08 14:00:00,7427
"424","Training",2021-10-08 15:00:00,7915
"425","Training",2021-10-08 16:00:00,8747
"426","Training",2021-10-08 17:00:00,10670
"427","Training",2021-10-08 18:00:00,9908
"428","Training",2021-10-08 19:00:00,6971
"429","Training",2021-10-08 20:00:00,4933
"430","Training",2021-10-08 21:00:00,3793
"431","Training",2021-10-08 22:00:00,3530
"432","Training",2021-10-08 23:00:00,3096
"433","Training",2021-10-09 00:00:00,2794
"434","Training",2021-10-09 01:00:00,2111
"435","Training",2021-10-09 02:00:00,1493
"436","Training",2021-10-09 03:00:00,1017
"437","Training",2021-10-09 04:00:00,552
"438","Training",2021-10-09 05:00:00,379
"439","Training",2021-10-09 06:00:00,788
"440","Training",2021-10-09 07:00:00,1675
"441","Training",2021-10-09 08:00:00,3044
"442","Training",2021-10-09 09:00:00,4551
"443","Training",2021-10-09 10:00:00,6306
"444","Training",2021-10-09 11:00:00,7460
"445","Training",2021-10-09 12:00:00,8275
"446","Training",2021-10-09 13:00:00,8329
"447","Training",2021-10-09 14:00:00,8436
"448","Training",2021-10-09 15:00:00,8361
"449","Training",2021-10-09 16:00:00,8036
"450","Training",2021-10-09 17:00:00,7349
"451","Training",2021-10-09 18:00:00,6975
"452","Training",2021-10-09 19:00:00,5289
"453","Training",2021-10-09 20:00:00,4152
"454","Training",2021-10-09 21:00:00,3496
"455","Training",2021-10-09 22:00:00,3093
"456","Training",2021-10-09 23:00:00,2836
"457","Training",2021-10-10 00:00:00,2397
"458","Training",2021-10-10 01:00:00,2130
"459","Training",2021-10-10 02:00:00,1561
"460","Training",2021-10-10 03:00:00,993
"461","Training",2021-10-10 04:00:00,574
"462","Training",2021-10-10 05:00:00,326
"463","Training",2021-10-10 06:00:00,520
"464","Training",2021-10-10 07:00:00,943
"465","Training",2021-10-10 08:00:00,1794
"466","Training",2021-10-10 09:00:00,3090
"467","Training",2021-10-10 10:00:00,3861
"468","Training",2021-10-10 11:00:00,4414
"469","Training",2021-10-10 12:00:00,3162
"470","Training",2021-10-10 13:00:00,1911
"471","Training",2021-10-10 14:00:00,3729
"472","Training",2021-10-10 15:00:00,4929
"473","Training",2021-10-10 16:00:00,5996
"474","Training",2021-10-10 17:00:00,5894
"475","Training",2021-10-10 18:00:00,5805
"476","Training",2021-10-10 19:00:00,4551
"477","Training",2021-10-10 20:00:00,3382
"478","Training",2021-10-10 21:00:00,2804
"479","Training",2021-10-10 22:00:00,2363
"480","Training",2021-10-10 23:00:00,1676
"481","Training",2021-10-11 00:00:00,1216
"482","Training",2021-10-11 01:00:00,709
"483","Training",2021-10-11 02:00:00,433
"484","Training",2021-10-11 03:00:00,234
"485","Training",2021-10-11 04:00:00,247
"486","Training",2021-10-11 05:00:00,563
"487","Training",2021-10-11 06:00:00,1550
"488","Training",2021-10-11 07:00:00,3123
"489","Training",2021-10-11 08:00:00,4599
"490","Training",2021-10-11 09:00:00,4316
"491","Training",2021-10-11 10:00:00,4053
"492","Training",2021-10-11 11:00:00,4686
"493","Training",2021-10-11 12:00:00,5577
"494","Training",2021-10-11 13:00:00,5826
"495","Training",2021-10-11 14:00:00,6275
"496","Training",2021-10-11 15:00:00,6998
"497","Training",2021-10-11 16:00:00,7712
"498","Training",2021-10-11 17:00:00,9783
"499","Training",2021-10-11 18:00:00,9452
"500","Training",2021-10-11 19:00:00,6711
"501","Training",2021-10-11 20:00:00,4540
"502","Training",2021-10-11 21:00:00,3355
"503","Training",2021-10-11 22:00:00,2635
"504","Training",2021-10-11 23:00:00,1785
"505","Training",2021-10-12 00:00:00,1029
"506","Training",2021-10-12 01:00:00,569
"507","Training",2021-10-12 02:00:00,332
"508","Training",2021-10-12 03:00:00,187
"509","Training",2021-10-12 04:00:00,237
"510","Training",2021-10-12 05:00:00,870
"511","Training",2021-10-12 06:00:00,2912
"512","Training",2021-10-12 07:00:00,5944
"513","Training",2021-10-12 08:00:00,8109
"514","Training",2021-10-12 09:00:00,5574
"515","Training",2021-10-12 10:00:00,4118
"516","Training",2021-10-12 11:00:00,4222
"517","Training",2021-10-12 12:00:00,4891
"518","Training",2021-10-12 13:00:00,5098
"519","Training",2021-10-12 14:00:00,5663
"520","Training",2021-10-12 15:00:00,6592
"521","Training",2021-10-12 16:00:00,7745
"522","Training",2021-10-12 17:00:00,11061
"523","Training",2021-10-12 18:00:00,11285
"524","Training",2021-10-12 19:00:00,7393
"525","Training",2021-10-12 20:00:00,5060
"526","Training",2021-10-12 21:00:00,3869
"527","Training",2021-10-12 22:00:00,2942
"528","Training",2021-10-12 23:00:00,1947
"529","Training",2021-10-13 00:00:00,1112
"530","Training",2021-10-13 01:00:00,589
"531","Training",2021-10-13 02:00:00,300
"532","Training",2021-10-13 03:00:00,189
"533","Training",2021-10-13 04:00:00,205
"534","Training",2021-10-13 05:00:00,874
"535","Training",2021-10-13 06:00:00,2771
"536","Training",2021-10-13 07:00:00,6238
"537","Training",2021-10-13 08:00:00,8409
"538","Training",2021-10-13 09:00:00,5912
"539","Training",2021-10-13 10:00:00,4286
"540","Training",2021-10-13 11:00:00,4241
"541","Training",2021-10-13 12:00:00,5030
"542","Training",2021-10-13 13:00:00,5314
"543","Training",2021-10-13 14:00:00,6045
"544","Training",2021-10-13 15:00:00,6551
"545","Training",2021-10-13 16:00:00,7788
"546","Training",2021-10-13 17:00:00,10837
"547","Training",2021-10-13 18:00:00,10615
"548","Training",2021-10-13 19:00:00,7397
"549","Training",2021-10-13 20:00:00,5116
"550","Training",2021-10-13 21:00:00,3935
"551","Training",2021-10-13 22:00:00,3279
"552","Training",2021-10-13 23:00:00,2262
"553","Training",2021-10-14 00:00:00,1163
"554","Training",2021-10-14 01:00:00,609
"555","Training",2021-10-14 02:00:00,376
"556","Training",2021-10-14 03:00:00,237
"557","Training",2021-10-14 04:00:00,248
"558","Training",2021-10-14 05:00:00,828
"559","Training",2021-10-14 06:00:00,2732
"560","Training",2021-10-14 07:00:00,5935
"561","Training",2021-10-14 08:00:00,8406
"562","Training",2021-10-14 09:00:00,6051
"563","Training",2021-10-14 10:00:00,4574
"564","Training",2021-10-14 11:00:00,4751
"565","Training",2021-10-14 12:00:00,5453
"566","Training",2021-10-14 13:00:00,5888
"567","Training",2021-10-14 14:00:00,6279
"568","Training",2021-10-14 15:00:00,7213
"569","Training",2021-10-14 16:00:00,8143
"570","Training",2021-10-14 17:00:00,11482
"571","Training",2021-10-14 18:00:00,11389
"572","Training",2021-10-14 19:00:00,7732
"573","Training",2021-10-14 20:00:00,5314
"574","Training",2021-10-14 21:00:00,4158
"575","Training",2021-10-14 22:00:00,3802
"576","Training",2021-10-14 23:00:00,2768
"577","Training",2021-10-15 00:00:00,1898
"578","Training",2021-10-15 01:00:00,1006
"579","Training",2021-10-15 02:00:00,580
"580","Training",2021-10-15 03:00:00,329
"581","Training",2021-10-15 04:00:00,290
"582","Training",2021-10-15 05:00:00,810
"583","Training",2021-10-15 06:00:00,2390
"584","Training",2021-10-15 07:00:00,5097
"585","Training",2021-10-15 08:00:00,7103
"586","Training",2021-10-15 09:00:00,5628
"587","Training",2021-10-15 10:00:00,4813
"588","Training",2021-10-15 11:00:00,5182
"589","Training",2021-10-15 12:00:00,5993
"590","Training",2021-10-15 13:00:00,6555
"591","Training",2021-10-15 14:00:00,7320
"592","Training",2021-10-15 15:00:00,8136
"593","Training",2021-10-15 16:00:00,9210
"594","Training",2021-10-15 17:00:00,10932
"595","Training",2021-10-15 18:00:00,10104
"596","Training",2021-10-15 19:00:00,7428
"597","Training",2021-10-15 20:00:00,5259
"598","Training",2021-10-15 21:00:00,4194
"599","Training",2021-10-15 22:00:00,3921
"600","Training",2021-10-15 23:00:00,3412
"601","Training",2021-10-16 00:00:00,3091
"602","Training",2021-10-16 01:00:00,2264
"603","Training",2021-10-16 02:00:00,1733
"604","Training",2021-10-16 03:00:00,986
"605","Training",2021-10-16 04:00:00,603
"606","Training",2021-10-16 05:00:00,370
"607","Training",2021-10-16 06:00:00,809
"608","Training",2021-10-16 07:00:00,1808
"609","Training",2021-10-16 08:00:00,3077
"610","Training",2021-10-16 09:00:00,4821
"611","Training",2021-10-16 10:00:00,6447
"612","Training",2021-10-16 11:00:00,7758
"613","Training",2021-10-16 12:00:00,8664
"614","Training",2021-10-16 13:00:00,8683
"615","Training",2021-10-16 14:00:00,8861
"616","Training",2021-10-16 15:00:00,8957
"617","Training",2021-10-16 16:00:00,8688
"618","Training",2021-10-16 17:00:00,6713
"619","Training",2021-10-16 18:00:00,4840
"620","Training",2021-10-16 19:00:00,4469
"621","Training",2021-10-16 20:00:00,1741
"622","Training",2021-10-16 21:00:00,655
"623","Training",2021-10-16 22:00:00,713
"624","Training",2021-10-16 23:00:00,1280
"625","Training",2021-10-17 00:00:00,1655
"626","Training",2021-10-17 01:00:00,1245
